title,num_frames,total_time,avg_intensity,avg_color_r,avg_color_g,avg_color_b,avg_shot_length,num_shots,original_format_title,movie_list_webpage_url,genre,release_date,imdb_url
God-Help-the-Girl,1637,68.1666666667,143.114526285,111.90653770002443,159.3698969754768,141.36432142278818,0.472619047619,140,God Help the Girl,http://www.movie-list.com/trailers/godhelpthegirl,"Drama, Musical, Romance",5-Sep-14,http://imdb.com/title/tt2141751/
Enders-Game,2847,118.701916667,76.0808145311,73.26553104016683,77.91670702011581,74.07579195113559,0.313571895425,357,Ender's Game,http://www.movie-list.com/trailers/endersgame,,1-Nov-13,http://imdb.com/title/tt1731141/
A-Long-Way-Down,3213,133.833333333,226.11588046,226.23401948567349,224.47826112157512,234.43677857580886,0.548326502732,244,A Long Way Down,http://www.movie-list.com/trailers/longwaydown,"Comedy, Drama",11-Jul-14,http://imdb.com/title/tt0458413/
Winters-Tale,3698,154.195708333,77.1883890831,70.48675321814387,78.35867068015285,88.80139348194169,0.655416666667,231,Winter's Tale,http://www.movie-list.com/trailers/winterstale,"Drama, Fantasy, Mystery",14-Feb-14,http://imdb.com/title/tt1837709/
The-Bachelor-Weekend,3016,125.625,167.285223135,147.63831177420101,174.2166294665668,183.2541249876614,0.433045977011,290,The Bachelor Weekend,http://www.movie-list.com/trailers/stag,Comedy,2-May-14,http://imdb.com/title/tt2573858/
Machete-Kills,1634,68.1097083333,122.363749701,87.0130909709917,128.7241868186523,182.40736093983486,0.319434439179,211,Machete Kills,http://www.movie-list.com/trailers/machetekills,"Action, Crime, Thriller",11-Oct-13,http://imdb.com/title/tt2002718/
Goosebumps,3990,166.374541667,61.3452025488,51.38805910168104,63.47328038553618,76.54821137751435,0.420373303647,393,Goosebumps,http://www.movie-list.com/trailers/goosebumps,"Action, Adventure, Comedy",16-Oct-15,http://imdb.com/title/tt1051904/
Jupiter-Ascending,2761,115.115,60.6036647286,65.68696943421772,58.518512185429536,58.06546413898374,0.386880747126,290,Jupiter Ascending,http://www.movie-list.com/trailers/jupiterascending,,6-Feb-15,http://imdb.com/title/tt1617661/
Venus-and-Serena,3577,149.149,150.650880433,135.37484539414967,158.39367173002995,150.96713893660296,0.405313584475,365,Venus and Serena,http://www.movie-list.com/trailers/venusandserena,Documentary ,10-May-13,http://www.imdb.com/title/tt2376024/
The-Last-Days-on-Mars,1665,66.56,85.3570658545,76.16194043666518,83.81014965159018,117.50617554863115,0.320198019802,202,The Last Days on Mars,http://www.movie-list.com/trailers/lastdaysonmars,,6-Dec-13,http://imdb.com/title/tt1709143/
I-Origins,3604,150.275125,165.134476474,137.18830125653878,175.91411864899607,183.0465401845646,0.246739892739,606,I Origins,http://www.movie-list.com/trailers/iorigins,,18-Jul-14,http://imdb.com/title/tt2884206/
The-Last-Sentence,3509,146.166666667,92.0695159223,92.13308240527982,92.03899769965278,92.1407538743362,0.840317919075,173,The Last Sentence,http://www.movie-list.com/trailers/lastsentence,"Biography, Drama",20-Jun-14,http://imdb.com/title/tt1590013/
Heat,3530,147.041666667,89.0331415033,84.83192018315235,87.6893840494177,107.04572038221495,0.287315930388,498,Heat,http://www.movie-list.com/trailers/heat,"Action, Crime, Drama",15-Dec-95,http://imdb.com/title/tt0113277/
Angry-Birds,3741,155.989166667,219.935085396,200.0809886397063,224.54162451479735,248.46442370004266,0.812153935185,180,Angry Birds,http://www.movie-list.com/trailers/angrybirds,"Animation, Action, Comedy",20-May-16,http://imdb.com/title/tt1985949/
The-Last-of-Robin-Hood,3617,150.817333333,139.584311812,131.04587915068706,141.61132130721288,151.6566046185712,0.61964152602,237,The Last of Robin Hood,http://www.movie-list.com/trailers/lastofrobinhood,"Biography, Drama",29-Aug-14,http://imdb.com/title/tt2450440/
Innocence,3667,152.90275,89.9633481618,94.81090485798353,88.39885719008859,85.38806604497225,0.405789655943,373,Innocence,http://www.movie-list.com/trailers/innocence,"Adventure, Fantasy, Horror, Thriller",5-Sep-14,http://imdb.com/title/tt1724965/
Southpaw,3600,150.108291667,76.4767604119,70.89163158513095,78.92637635172544,78.57428783021692,0.344962673611,432,Southpaw,http://www.movie-list.com/trailers/southpaw,Drama,24-Jul-15,http://imdb.com/title/tt1798684/
Yes-Man,3361,112.112,171.96099565,156.83841834257666,176.6673602906249,187.52852558628427,0.810298540146,137,Yes Man,http://www.movie-list.com/trailers/yesman,"Comedy, Romance",17-Dec-08,http://imdb.com/title/tt1068680/
Veronica-Mars,6923,288.705083333,127.383519542,117.05634104477214,129.05271887273338,145.97748443544205,0.568171352075,498,Veronica Mars,http://www.movie-list.com/trailers/veronicamars,"Comedy, Drama, Mystery",14-Mar-14,http://imdb.com/title/tt2771372/
White-Elephant,3140,130.791666667,136.610213057,119.5581029214705,144.72627381277215,139.64888917395007,0.326875,400,White Elephant,http://www.movie-list.com/trailers/whiteelephant,Drama,29-Mar-13,http://www.imdb.com/title/tt2132324/
Teenage-Mutant-Ninja-Turtles-1990,2100,87.5457916667,52.2587053649,61.77994149149014,46.16268509226093,58.72969038529829,0.46278501773,188,Teenage Mutant Ninja Turtles (1990),http://www.movie-list.com/trailers/teenagemutantninjaturtles,"Action, Adventure, Comedy",30-Mar-90,http://imdb.com/title/tt0100758/
The-33,3648,152.110291667,102.08123265,79.58554596604627,108.68605777405342,127.1438337472887,0.449550898204,334,The 33,http://www.movie-list.com/trailers/33,Drama,13-Nov-15,http://imdb.com/title/tt2006295/
Rapturepalooza,3571,148.89875,133.617490166,128.8219085219914,135.48607042176658,136.6868278215087,0.63869241774,233,Rapturepalooza,http://www.movie-list.com/trailers/rapturepalooza,"Comedy, Fantasy, Horror",7-Jun-13,http://imdb.com/title/tt1879032/
When-the-Game-Stands-Tall,3484,145.270125,93.7304507867,81.48778570068835,95.895942215293,114.76169789826491,0.301583333333,481,When the Game Stands Tall,http://www.movie-list.com/trailers/whenthegamestandstall,"Drama, Sports",22-Aug-14,http://imdb.com/title/tt2247476/
Devils-Due,3516,117.166666667,73.367991203,62.081179906495755,78.78986741590958,75.10766978797545,0.276285240464,402,Devil's Due,http://www.movie-list.com/trailers/devilsdue,"Horror, Thriller",17-Jan-14,http://imdb.com/title/tt2752758/
Calvary,3345,139.472666667,120.976474481,94.83897930643555,129.80361509756017,144.1612412624801,1.17430531609,116,Calvary,http://www.movie-list.com/trailers/calvary,"Comedy, Drama",1-Aug-14,http://imdb.com/title/tt2234003/
Fading-Gigolo,3538,147.522375,98.0048593468,75.01509103632517,103.36298311934813,130.77875039422938,1.11466316794,131,Fading Gigolo,http://www.movie-list.com/trailers/fadinggigolo,Comedy,18-Apr-14,http://imdb.com/title/tt2258345/
Amour,2865,119.452666667,76.9216839704,68.66225100470783,82.42184225331182,70.32382230213352,1.120109375,104,Amour,http://www.movie-list.com/trailers/amour,"Drama, Romance",19-Dec-12,http://www.imdb.com/title/tt1602620/
Addicted,3603,150.233416667,93.2481604722,90.11593547152296,92.3972597915461,105.92382335190008,0.381848812553,393,Addicted,http://www.movie-list.com/trailers/addicted,"Drama, Thriller",10-Oct-14,http://imdb.com/title/tt2205401/
