title,num_frames,total_time,avg_intensity,avg_color_r,avg_color_g,avg_color_b,mean_shot_length,std_dev_shot_length,max_shot_length,min_shot_length,num_shots,stddev_color_with_letterbox_r,stddev_color_with_letterbox_g,stddev_color_with_letterbox_b,detail_score_mean,detail_score_std_dev,detail_score_max,detail_score_min,dark_scene_mean_length,dark_scene_length_std_dev,dark_scene_length_max,dark_scene_length_min,dark_scene_count,dark_scene_percentage,original_format_title,movie_list_webpage_url,genre,release_date,imdb_url,mean_volume,std_dev_volume,min_volume,max_volume,sudden_rise_count_per_cut,sudden_fall_count_per_cut,Drama,Horror,Thriller,Action,Comedy,Crime,Mystery,Sport,Romance,Biography,History,Animation,Adventure,Family,Documentary,Fantasy,Music,Western,Musical,Sports,Supernatural,War,News,Animaton,Short
The-Stranger,2734,113.988875,19.65494524,18.7149436,19.59497474,22.44560022,0.793916667,0.822275427,3.878875,0.041708333,143,15.55182652,15.40150279,20.49731403,0.010458944,0.012126335,0.054334852,0,10.27272727,10.04617439,28,1,11,0.004023409,The Stranger,http://www.movie-list.com/trailers/stranger,Drama/ Horror/ Mystery,12-Jun-15,http://imdb.com/title/tt2238470/,0.127653781,0.070072792,0,0.305333837,0.079646018,0.097345133,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The-Theory-of-Everything,3379,135.12,59.86006049,54.37494665,61.78379322,64.38861678,0.361176471,0.639828441,5.56,0.04,374,27.6936672,31.15754174,33.87718522,0.023580696,0.025991763,0.213959427,0,1.8,1.166190379,4,1,5,0.001479728,The Theory of Everything,http://www.movie-list.com/trailers/theoryofeverything,Biography/ Drama/ Romance,7-Nov-14,http://imdb.com/title/tt2980516/,0.072701535,0.03479478,0.018528964,0.175160277,0.044776119,0.074626866,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The-To-Do-List,2287,95.34525,114.6007689,105.4124956,116.872718,127.0937587,1.123642361,1.608191692,10.55220833,0.041708333,84,53.450267,52.97706378,49.23230468,0.024032078,0.018190072,0.108020833,0.001070964,24,0,24,24,2,0.000874508,The To Do List,http://www.movie-list.com/trailers/todolist,Comedy,26-Jul-13,http://imdb.com/title/tt1758795/,0.101525952,0.054863436,0,0.289140796,0.074468085,0.095744681,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The-Town-That-Dreaded-Sundown,3530,147.1887083,22.60097667,19.21903339,23.97620575,24.40679661,0.481932171,0.819207176,5.880875,0.041708333,301,16.27433846,20.88558882,21.13074875,0.007532301,0.011278848,0.09397678,0,8.210526316,13.19321575,57,1,38,0.010764873,The Town That Dreaded Sundown,http://www.movie-list.com/trailers/townthatdreadedsundown,Horror/ Thriller,16-Oct-14,http://imdb.com/title/tt2561546/,0.144834839,0.105141596,0,0.402438582,0.109589041,0.116438356,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The-Transporter-Refueled,2277,94.92816667,56.81353026,46.32036158,63.66939122,49.07404858,0.223233255,0.41854262,5.005,0.041708333,423,37.52161326,46.04075005,42.27478686,0.025308902,0.028641394,0.164085478,0,4.323529412,8.333915781,48,1,34,0.014931928,The Transporter Refueled,http://www.movie-list.com/trailers/transporterrefueled,Action/ Crime/ Thriller,4-Sep-15,http://imdb.com/title/tt2938956/,0.138220935,0.074606758,0,0.265870922,0.11827957,0.096774194,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The-Truth-About-Emanuel,3123,130.2134167,38.90996577,35.11168196,40.62371119,40.07864532,0.916400118,1.133315746,8.383375,0.041708333,141,17.38436899,17.41959486,27.44377295,0.015668269,0.021565149,0.133691406,0,11,11.45425685,25,1,5,0.001601025,The Truth About Emanuel,http://www.movie-list.com/trailers/truthaboutemanuel,Drama/ Thriller,10-Jan-14,http://imdb.com/title/tt1838520/,0.100374573,0.035675695,0,0.189089906,0.147286822,0.15503876,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The-Two-Faces-of-January,3229,134.6345,42.03849655,34.85602636,45.02797513,45.51411296,0.63728752,0.939147755,9.300958333,0.041708333,211,24.5499143,30.45570463,28.0125138,0.014284129,0.021934121,0.117792836,0,5.04,6.761538287,26,1,25,0.007742335,The Two Faces of January,http://www.movie-list.com/trailers/twofacesofjanuary,Drama/ Thriller,26-Sep-14,http://imdb.com/title/tt1976000/,0.136538736,0.073959918,0,0.363713813,0.097744361,0.097744361,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The-Unknown-Known,3482,145.1867083,67.46381493,59.17513546,71.6741765,67.57566081,0.776676802,1.147877598,8.216541667,0.041708333,185,43.57130351,47.01293262,48.21486266,0.044482965,0.054021994,0.26933881,0,14,12.6964562,34,2,5,0.001435956,The Unknown Known,http://www.movie-list.com/trailers/unknownknown,Documentary,4-Apr-14,http://imdb.com/title/tt2390962/,0.130113336,0.07667351,0,0.287573094,0.083333333,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The-Visit,3841,160.16,46.48592756,42.47232175,47.34515544,52.62582759,0.636277778,1.142295449,7.924583333,0.041708333,231,28.77399316,31.64435874,33.06329057,0.020521743,0.018199957,0.134326384,0,9.25,9.601432185,35,1,20,0.005206977,The Visit,http://www.movie-list.com/trailers/visit,Comedy/ Horror,11-Sep-15,http://imdb.com/title/tt3567288/,0.106882279,0.082623858,0,0.355808781,0.106918239,0.106918239,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The-Walk,3177,132.4656667,78.41757717,93.1849953,74.55053602,59.67910026,1.439844203,3.166870121,18.68533333,0.041708333,92,29.21049548,22.21494962,18.88143093,0.040932693,0.027979476,0.09895599,0,9,10.61445555,24,1,3,0.000944287,The Walk,http://www.movie-list.com/trailers/walk,Drama,2-Oct-15,http://imdb.com/title/tt3488710/,0.05059488,0.050630606,0,0.246233006,0.038167939,0.045801527,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The-Wannabe,2856,119.0772917,33.09650575,27.23352518,35.09377614,38.21367083,0.514217407,0.684150381,4.963291667,0.041708333,225,16.79565824,21.24692471,22.4657811,0.012225017,0.012215043,0.08508138,0,11.5,14.43086969,36,1,4,0.00140056,The Wannabe,http://www.movie-list.com/trailers/wannabe,Crime/ Drama/ Mystery,4-Dec-15,http://imdb.com/title/tt3059816/,0.098999034,0.054390062,0,0.25242828,0.093220339,0.084745763,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The-Water-Diviner,4133,165.28,50.57273785,39.42175736,53.9282047,62.57647734,0.414787234,0.619202007,5.32,0.04,376,31.07955658,34.63775224,36.17234736,0.025118076,0.033114063,0.188916904,0,6.727272727,4.594283189,16,1,11,0.002661505,The Water Diviner,http://www.movie-list.com/trailers/waterdiviner,Drama/ War,24-Apr-15,http://imdb.com/title/tt3007512/,0.056146533,0.042548478,0,0.215892728,0.067073171,0.048780488,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The-Wave,3347,139.5560833,29.15674452,31.61556072,29.47885389,21.07689639,0.542033821,0.854165918,5.005,0.041708333,239,22.84717101,23.41379997,21.62908173,0.011809325,0.017166717,0.212358941,0,14,19.31493377,66,1,15,0.004481625,The Wave,http://www.movie-list.com/trailers/wave,Action/ Drama/ Thriller,4-Mar-16,http://imdb.com/title/tt3616916/,0.153612044,0.090447978,0,0.361122603,0.094202899,0.065217391,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The-Way-Way-Back,3616,150.625,105.0376642,104.4172259,106.0430512,101.5796871,0.470182292,0.57337634,4.958333333,0.041666667,320,43.50533145,38.93986324,38.0033381,0.043792328,0.028833767,0.14194987,0,2.933333333,5.720916787,24,1,15,0.00414823,The Way/ Way Back,http://www.movie-list.com/trailers/waywayback,Comedy,5-Jul-13,http://imdb.com/title/tt1727388/,0.140545849,0.098226138,0,0.45404421,0.053691275,0.040268456,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
